id,Names,Distance,Mass,Radius
0,"['S', 'D', 'S', 'S', ' ', 'J', '0', '0', '0', '0', '1', '3', '.', '5', '4', '+', '2', '5', '5', '4', '1', '8', '.', '6', '\xa0', '[', 'd', 'e', ']']","['4', '6', '.', '1']","['4', '8']","['0', '.', '9', '9']"
1,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '0', '4', '0', '2', '8', '8', '-', '6', '4', '1', '0', '3', '5', '8']","['1', '9', '2']","['1', '9']","['1', '.', '6', '3']"
2,"['L', 'H', 'S', ' ', '1', '0', '2', 'B', 'C']",[],[],[]
3,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '4', '2', '4', '6', '3', '-', '0', '1', '5', '8', '2', '0', '1']","['3', '7', '.', '7']","['7', '9']","['1', '.', '0', '9']"
4,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '5', '0', '3', '6', '5', '+', '4', '7', '5', '9', '1', '9', '1', 'A', 'B']","['1', '4', '3']",[],[]
5,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '7', '4', '1', '9', '7', '+', '0', '5', '0', '3', '4', '1', '7']","['2', '3', '6']","['3', '1']","['1', '.', '4', '4']"
6,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '2', '7', '5', '5', '9', '2', '+', '2', '2', '1', '9', '3', '2', '8']","['4', '6', '.', '9']",[],[]
7,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '0', '0', '3', '0', '3', '0', '0', '-', '1', '4', '5', '0', '3', '3']","['8', '7', '.', '2']","['5', '4']","['0', '.', '9', '8']"
8,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '3', '3', '2', '3', '8', '6', '-', '1', '5', '2', '1', '3', '0', '9', '\xa0', '[', 'd', 'e', ']']","['1', '3', '1']","['2', '9']","['1', '.', '4', '3']"
9,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '3', '4', '5', '1', '5', '7', '+', '0', '5', '2', '3', '0', '5', '0']","['3', '1']","['4', '2']","['0', '.', '9', '4']"
10,"['2', 'M', 'A', 'S', 'S', ' ', '0', '0', '3', '6', '+', '1', '8', '2', '1']","['2', '8', '.', '6']","['4', '2']","['0', '.', '9', '4']"
11,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '0', '0', '4', '5', '2', '1', '4', '+', '1', '6', '3', '4', '4', '5']","['5', '7']","['2', '3']","['1', '.', '6', '2']"
12,"['W', 'I', 'S', 'E', 'P', ' ', 'J', '0', '0', '4', '7', '0', '1', '.', '0', '6', '+', '6', '8', '0', '3', '5', '2', '.', '1', '\xa0', '[', 'f', 'r', ']']","['4', '0']","['1', '2']","['1', '.', '3']"
13,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '5', '0', '1', '9', '9', '4', '-', '3', '3', '2', '2', '4', '0', '2', '\xa0', '[', 'd', 'e', ']']","['3', '4']","['4', '0']","['0', '.', '9', '4']"
14,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '0', '3', '4', '2', '2', '7', '-', '2', '8', '2', '2', '4', '1', '0']",[],[],[]
15,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '0', '0', '5', '8', '4', '2', '5', '3', '-', '0', '6', '5', '1', '2', '3', '9', '\xa0', '[', 'd', 'e', ']']","['9', '6']","['2', '9']","['1', '.', '4', '3']"
16,"['C', 'F', 'B', 'D', 'S', ' ', 'J', '0', '0', '5', '9', '1', '0', '.', '9', '0', '–', '0', '1', '1', '4', '0', '1', '.', '3']","['3', '0']","['2', '3']",[]
